TeamID,Chair1,Chair2,Chair3,Chair4,Student1,Student2,Student3,Student4
1,1,2,3,4,0,0,0,0
2,5,6,7,8,0,0,0,0
3,9,10,11,12,0,0,0,0
4,13,14,15,16,0,0,0,0
5,17,18,19,20,0,0,0,0
6,21,22,23,24,0,0,0,0
7,25,26,27,28,0,0,0,0
8,29,30,31,32,0,0,0,0
9,33,34,35,36,0,0,0,0
10,37,38,39,40,0,0,0,0
11,41,42,43,44,0,0,0,0
12,45,46,47,48,0,0,0,0
13,49,50,51,52,0,0,0,0
14,53,54,55,56,0,0,0,0
15,57,58,59,60,0,0,0,0
16,61,62,63,64,0,0,0,0
17,65,66,67,68,0,0,0,0
18,69,70,71,72,0,0,0,0
19,73,74,75,76,0,0,0,0
20,77,78,79,80,0,0,0,0
21,81,82,83,84,0,0,0,0
22,85,86,87,88,0,0,0,0
23,89,90,91,92,0,0,0,0
24,93,94,95,96,0,0,0,0
25,97,98,99,100,0,0,0,0
26,101,102,103,104,0,0,0,0
