Group Number,Seat Number
1,O1
1,O2
1,O3
2,O4
2,O5
2,O6
3,N1
3,N2
3,N3
4,N4
4,N5
4,N6
5,N7
5,N8
6,N9
6,N10
6,N11
7,N12
7,N13
7,N14
8,N15
8,N16
8,N17
9,M1
9,M2
9,M3
10,M4
10,M5
10,M6
11,M7
11,M8
11,M9
12,M10
12,M11
12,M12
13,M13
13,M14
13,M15
14,M16
14,M17
15,L1
15,L2
15,L3
16,L4
16,L5
16,L6
17,L7
17,L8
17,L9
18,L10
18,L11
18,L12
18,L13
19,L14
19,L15
19,L16
20,L17
20,L18
20,L19
21,K1
21,K2
21,K3
22,K4
22,K5
22,K6
22,K7
23,K8
23,K9
23,K10
24,K11
24,K12
24,K13
25,K14
25,K15
25,K16
26,K17
26,K18
26,K19
27,J1
27,J2
27,J3
28,J4
28,J5
28,J6
29,J7
29,J8
29,J9
30,J10
30,J11
30,J12
31,J13
31,J14
31,J15
31,J16
32,J17
32,J18
32,J19
33,H1
33,H2
33,H3
33,H4
34,H5
34,H6
34,H7
35,H8
35,H9
35,H10
36,H11
36,H12
36,H13
37,H14
37,H15
37,H16
38,H17
38,H18
38,H19
39,G1
39,G2
39,G3
40,G4
40,G5
40,G6
41,G7
41,G8
41,G9
42,G10
42,G11
42,G12
43,G13
43,G14
43,G15
44,G16
44,G17
45,F1
45,F2
45,F3
46,F4
46,F5
46,F6
47,F7
47,F8
47,F9
48,F10
48,F11
49,F12
49,F13
49,F14
50,F15
50,F16
50,F17
51,E1
51,E2
51,E3
52,E4
52,E5
52,E6
53,E7
53,E8
53,E9
54,E10
54,E11
54,E12
54,E13
55,E14
55,E15
55,E16
56,E17
56,E18
56,E19
57,D1
57,D2
57,D3
58,D4
58,D5
58,D6
59,D7
59,D8
60,D9
60,D10
60,D11
61,D12
61,D13
61,D14
62,D15
62,D16
62,D17
63,D18
63,D19
64,C1
64,C2
64,C3
65,C4
65,C5
66,C6
66,C7
66,C8
67,C9
67,C10
67,C11
68,C12
68,C13
68,C14
69,C15
69,C16
69,C17
70,C18
70,C19
71,B1
71,B2
71,B3
72,B4
72,B5
73,B6
73,B7
73,B8
74,B9
74,B10
74,B11
75,B12
75,B13
75,B14
76,B15
76,B16
76,B17
77,B18
77,B19
78,A1
78,A2
78,A3
79,A4
79,A5
79,A6
80,A7
80,A8
80,A9
81,A10
81,A11
81,A12
82,A13
82,A14
82,A15
83,A16
83,A17
